#Occ	chrA	startOnA	endOnA	chrB	startOnB	endOnB	LinksFromWindow	LinksToChrB	LinksToEvent	CoverageOnChrA	OrientationA	OrientationB	FeatureA	FeatureB
1	chr12	12026027	12030043	chr21	36263639	36267964	31	11	11	1.5295	- (100%)	- (100%)	gene_uc001qzz.3	gene_uc010gmu.3
2	chr12	43896870	43901676	chr21	36268332	36271647	19	9	9	2.03599	- (100%)	+ (100%)	gene_uc010skx.2	gene_uc010gmu.3
3	chr7	158387895	158390564	chr14	100394259	100394493	32	13	11	9.00487	- (54%)	+ (54%)	rmsk_LTR	gene_uc010tww.2
4	chr3	34249621	34250699	chr15	45080160	45091563	19	11	11	2.95551	+ (63%)	+ (63%)	rmsk_LTR	rmsk_LINE
8	chr21	9828041	9831007	chrUn_gl000214	122181	136448	25	12	12	8.96562	+ (100%)	+ (83%)	rmsk_Satellite	rmsk_Satellite
11	chr15	20491002	20498268	chr16	33323529	33359622	15	9	8	5.07059	- (100%)	- (100%)	gene_uc001ytf.1	rmsk_LINE
12	chr20	26200280	26206416	chrUn_gl000216	33189	74930	30	16	12	9.96008	+ (91%)	+ (91%)	rmsk_LINE	rmsk_Satellite
13	chr7	61911780	61916739	chr12	38195894	38232313	60	14	8	5.43004	- (100%)	+ (100%)	rmsk_Satellite	rmsk_Satellite
15	chr1	168416751	168421583	chr8	30103891	30105752	25	10	8	2.43224	- (75%)	+ (75%)	rmsk_LTR	gene_uc022atm.1
19	chr12	165672	168999	chr20	62961146	62964967	41	10	10	7.01532	- (100%)	- (100%)	rmsk_LINE	rmsk_LINE
24	chr16	33913310	33920730	chrY	10060229	10068759	20	9	9	7.76499	- (55%)	- (55%)	rmsk_Satellite	rmsk_Satellite
25	chr15	20000006	20009370	chr21	14343132	14367253	19	12	10	9.71159	+ (90%)	- (90%)	rmsk_Satellite	rmsk_Satellite
26	chr3	16406689	16409695	chrY	7584359	7589971	18	8	8	2.16329	+ (62%)	- (62%)	gene_uc010hes.3	rmsk_LINE
27	chr2	116370819	116378129	chr9	131457137	131458519	25	10	8	2.07181	- (75%)	- (75%)	gene_uc002tla.2	gene_uc004bvt.4
27	chr2	133015255	133024189	chrUn_gl000229	5955	17799	43	8	8	8.93766	- (75%)	- (87%)	rmsk_LINE	rmsk_Low_complexity
28	chr4	190200372	190202731	chrUn_gl000241	0	4259	69	15	15	9.4572	- (100%)	+ (100%)	rmsk_LTR	rmsk_LINE
28	chr9	101476486	101477545	chr22	32572295	32581373	18	11	11	3.58774	- (54%)	+ (54%)	rmsk_LINE	rmsk_LINE
28	chrY	10015304	10019504	chrUn_gl000231	21709	26606	13	8	8	5.89836	+ (100%)	- (100%)	rmsk_LINE	rmsk_LTR
